voyage_name,voyage_start_date,voyage_end_date,ship_name,name,price,single_supplement,description,square_meter,overview
"Falkland Is, South Georgia and Antarctic Islands",23-Oct-17,13-Nov-17,Ms Expedition,Quad,13999,,,,
"Falkland Is, South Georgia and Antarctic Islands",23-Oct-17,13-Nov-17,Ms Expedition,Triple,15799,,,,
"Falkland Is, South Georgia and Antarctic Islands",23-Oct-17,13-Nov-17,Ms Expedition,Twin Porthole,17499,1.6,,,
"Falkland Is, South Georgia and Antarctic Islands",23-Oct-17,13-Nov-17,Ms Expedition,Twin Window,18999,1.6,,,
"Falkland Is, South Georgia and Antarctic Islands",23-Oct-17,13-Nov-17,Ms Expedition,Superior Twin,19999,1.6,,,
"Falkland Is, South Georgia and Antarctic Islands",23-Oct-17,13-Nov-17,Ms Expedition,Suite,21999,1.6,,,
Antarctic Classic in Depth,12-Nov-17,24-Nov-17,Ms Expedition,Quad,8499,,,,
Antarctic Classic in Depth,12-Nov-17,24-Nov-17,Ms Expedition,Triple,9499,,,,
Antarctic Classic in Depth,12-Nov-17,24-Nov-17,Ms Expedition,Twin Porthole,10999,1.6,,,
Antarctic Classic in Depth,12-Nov-17,24-Nov-17,Ms Expedition,Twin Window,11999,1.6,,,
Antarctic Classic in Depth,12-Nov-17,24-Nov-17,Ms Expedition,Superior Twin,13299,1.6,,,
Antarctic Classic in Depth,12-Nov-17,24-Nov-17,Ms Expedition,Suite,14999,1.6,,,
Spirit of Shackleton,23-Nov-17,13-Dec-17,Ms Expedition,Quad,13999,,,,
Spirit of Shackleton,23-Nov-17,13-Dec-17,Ms Expedition,Triple,14999,,,,
Spirit of Shackleton,23-Nov-17,13-Dec-17,Ms Expedition,Twin Porthole,19999,1.6,,,
Spirit of Shackleton,23-Nov-17,13-Dec-17,Ms Expedition,Twin Window,21999,1.6,,,
Spirit of Shackleton,23-Nov-17,13-Dec-17,Ms Expedition,Superior Twin,25999,1.6,,,
Spirit of Shackleton,23-Nov-17,13-Dec-17,Ms Expedition,Suite,29999,1.6,,,
Spirit of Shackleton,11-Jan-18,31-Jan-18,Ms Expedition,Quad,17999,,,,
Spirit of Shackleton,11-Jan-18,31-Jan-18,Ms Expedition,Triple,18999,,,,
Spirit of Shackleton,11-Jan-18,31-Jan-18,Ms Expedition,Twin Porthole,22999,1.6,,,
Spirit of Shackleton,11-Jan-18,31-Jan-18,Ms Expedition,Twin Window,25999,1.6,,,
Spirit of Shackleton,11-Jan-18,31-Jan-18,Ms Expedition,Superior Twin,28999,1.6,,,
Spirit of Shackleton,11-Jan-18,31-Jan-18,Ms Expedition,Suite,30999,1.6,,,
Antarctic Classic,12-Dec-17,22-Dec-17,Ms Expedition,Quad,7799,,,,
Antarctic Classic,12-Dec-17,22-Dec-17,Ms Expedition,Triple,8499,,,,
Antarctic Classic,12-Dec-17,22-Dec-17,Ms Expedition,Twin Porthole,9999,1.6,,,
Antarctic Classic,12-Dec-17,22-Dec-17,Ms Expedition,Twin Window,11499,1.6,,,
Antarctic Classic,12-Dec-17,22-Dec-17,Ms Expedition,Superior Twin,12999,1.6,,,
Antarctic Classic,12-Dec-17,22-Dec-17,Ms Expedition,Suite,14499,1.6,,,
Antarctic Classic,2-Jan-18,12-Jan-18,Ms Expedition,Quad,8999,,,,
Antarctic Classic,2-Jan-18,12-Jan-18,Ms Expedition,Triple,9999,,,,
Antarctic Classic,2-Jan-18,12-Jan-18,Ms Expedition,Twin Porthole,11499,1.6,,,
Antarctic Classic,2-Jan-18,12-Jan-18,Ms Expedition,Twin Window,12499,1.6,,,
Antarctic Classic,2-Jan-18,12-Jan-18,Ms Expedition,Superior Twin,13499,1.6,,,
Antarctic Classic,2-Jan-18,12-Jan-18,Ms Expedition,Suite,14999,1.6,,,
Antarctic Classic,30-Jan-18,9-Feb-18,Ms Expedition,Quad,8999,,,,
Antarctic Classic,30-Jan-18,9-Feb-18,Ms Expedition,Triple,9999,,,,
Antarctic Classic,30-Jan-18,9-Feb-18,Ms Expedition,Twin Porthole,11499,1.6,,,
Antarctic Classic,30-Jan-18,9-Feb-18,Ms Expedition,Twin Window,12499,1.6,,,
Antarctic Classic,30-Jan-18,9-Feb-18,Ms Expedition,Superior Twin,13499,1.6,,,
Antarctic Classic,30-Jan-18,9-Feb-18,Ms Expedition,Suite,14999,1.6,,,
Antarctic Classic,4-Mar-18,14-Mar-18,Ms Expedition,Quad,7299,,,,
Antarctic Classic,4-Mar-18,14-Mar-18,Ms Expedition,Triple,7999,,,,
Antarctic Classic,4-Mar-18,14-Mar-18,Ms Expedition,Twin Porthole,9499,1.6,,,
Antarctic Classic,4-Mar-18,14-Mar-18,Ms Expedition,Twin Window,10999,1.6,,,
Antarctic Classic,4-Mar-18,14-Mar-18,Ms Expedition,Superior Twin,12299,1.6,,,
Antarctic Classic,4-Mar-18,14-Mar-18,Ms Expedition,Suite,13499,1.6,,,
Antarctic Classic,13-Mar-18,23-Mar-18,Ms Expedition,Quad,6799,,,,
Antarctic Classic,13-Mar-18,23-Mar-18,Ms Expedition,Triple,7499,,,,
Antarctic Classic,13-Mar-18,23-Mar-18,Ms Expedition,Twin Porthole,8999,1.6,,,
Antarctic Classic,13-Mar-18,23-Mar-18,Ms Expedition,Twin Window,10499,1.6,,,
Antarctic Classic,13-Mar-18,23-Mar-18,Ms Expedition,Superior Twin,11799,1.6,,,
Antarctic Classic,13-Mar-18,23-Mar-18,Ms Expedition,Suite,12999,1.6,,,
Quest for the Antarctic Circle,21-Dec-17,3-Jan-18,Ms Expedition,Quad,11999,,,,
Quest for the Antarctic Circle,21-Dec-17,3-Jan-18,Ms Expedition,Triple,12799,,,,
Quest for the Antarctic Circle,21-Dec-17,3-Jan-18,Ms Expedition,Twin Porthole,13999,1.6,,,
Quest for the Antarctic Circle,21-Dec-17,3-Jan-18,Ms Expedition,Twin Window,15499,1.6,,,
Quest for the Antarctic Circle,21-Dec-17,3-Jan-18,Ms Expedition,Superior Twin,16999,1.6,,,
Quest for the Antarctic Circle,21-Dec-17,3-Jan-18,Ms Expedition,Suite,18499,1.6,,,
Quest for the Antarctic Circle,8-Feb-18,21-Feb-18,Ms Expedition,Quad,11999,,,,
Quest for the Antarctic Circle,8-Feb-18,21-Feb-18,Ms Expedition,Triple,12799,,,,
Quest for the Antarctic Circle,8-Feb-18,21-Feb-18,Ms Expedition,Twin Porthole,13999,1.6,,,
Quest for the Antarctic Circle,8-Feb-18,21-Feb-18,Ms Expedition,Twin Window,15499,1.6,,,
Quest for the Antarctic Circle,8-Feb-18,21-Feb-18,Ms Expedition,Superior Twin,16999,1.6,,,
Quest for the Antarctic Circle,8-Feb-18,21-Feb-18,Ms Expedition,Suite,18499,1.6,,,
Quest for the Antarctic Circle,20-Feb-18,5-Mar-18,Ms Expedition,Quad,11499,,,,
Quest for the Antarctic Circle,20-Feb-18,5-Mar-18,Ms Expedition,Triple,12299,,,,
Quest for the Antarctic Circle,20-Feb-18,5-Mar-18,Ms Expedition,Twin Porthole,13499,1.6,,,
Quest for the Antarctic Circle,20-Feb-18,5-Mar-18,Ms Expedition,Twin Window,14999,1.6,,,
Quest for the Antarctic Circle,20-Feb-18,5-Mar-18,Ms Expedition,Superior Twin,15999,1.6,,,
Quest for the Antarctic Circle,20-Feb-18,5-Mar-18,Ms Expedition,Suite,17499,1.6,,,